rank,opportunity_score,portfolio_readiness,portfolio_category,portfolio_next_step,risk_flags,portfolio_score_reasons,asin,name,product_url,amazon_price,costco_cost,costco_cost_basis,pack_match,economics_confidence,economics_status,net_profit,roi_pct,fba_fee,monthly_sales_estimate,estimated_monthly_sales,sales_estimate_low,sales_estimate_high,sales_estimation_method,sales_estimation_source,sales_estimation_confidence,estimated_monthly_revenue,monthly_revenue_basis,estimated_monthly_profit_pool,estimated_units_per_observed_seller,observed_total_sellers,observed_fba_sellers,observed_fbm_sellers,observed_amazon_sellers,offer_roster_reason,snapshot_freshness,snapshot_offers_complete,verification_tasks,total_completeness_score
1,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B00AQ0LMTC,Kirkland Signature vitamins supplements :: B00AQ0LMTC,https://www.amazon.com/dp/B00AQ0LMTC,25.9,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,518.0,candidate_amazon_price,,2.0,10,0,10,0,,fresh,True,no_costco_candidate; enrich_sales,50
2,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B01NCRITAE,Kirkland Signature vitamins supplements :: B01NCRITAE,https://www.amazon.com/dp/B01NCRITAE,27.98,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,70,49,92,bsr_category_model,bsr_category_model,medium,1958.6,candidate_amazon_price,,3.7,19,4,15,0,,fresh,True,no_costco_candidate; enrich_sales,50
3,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B015WRSJCQ,Kirkland Signature vitamins supplements :: B015WRSJCQ,https://www.amazon.com/dp/B015WRSJCQ,21.99,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,439.8,candidate_amazon_price,,1.1,18,1,17,0,,fresh,True,no_costco_candidate; enrich_sales,50
4,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B00P8ZAWK0,Kirkland Signature vitamins supplements :: B00P8ZAWK0,https://www.amazon.com/dp/B00P8ZAWK0,24.49,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,28,13,42,bsr_category_model,bsr_category_model,low,685.72,candidate_amazon_price,,2.0,14,1,13,0,,fresh,True,no_costco_candidate; enrich_sales,50
5,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B07881PTTX,Kirkland Signature vitamins supplements :: B07881PTTX,https://www.amazon.com/dp/B07881PTTX,30.89,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,617.8,candidate_amazon_price,,1.2,16,1,15,0,,fresh,True,no_costco_candidate; enrich_sales,50
6,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: low_est_seller_share,B005ECOBBI,Kirkland Signature vitamins supplements :: B005ECOBBI,https://www.amazon.com/dp/B005ECOBBI,18.01,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,42,21,64,bsr_category_model,bsr_category_model,low,756.42,candidate_amazon_price,,6.0,7,3,4,0,,fresh,True,no_costco_candidate; enrich_sales,50
7,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B001UB44SM,Kirkland Signature trash bags :: B001UB44SM,https://www.amazon.com/dp/B001UB44SM,32.47,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,649.4,candidate_amazon_price,,0.9,23,0,23,0,,fresh,True,no_costco_candidate; enrich_sales,50
8,,needs_costco_mapping,research_queue,find_costco_match,weak_match; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: high_observed_competition; risk: low_est_seller_share,B01M7Y0NEX,Kirkland Signature trash bags :: B01M7Y0NEX,https://www.amazon.com/dp/B01M7Y0NEX,23.59,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,156,109,204,bsr_category_model,bsr_category_model,medium,3680.04,candidate_amazon_price,,15.6,10,2,8,0,,fresh,True,no_costco_candidate; enrich_sales,50
9,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B00MPYTSGG,Kirkland Signature vitamins supplements :: B00MPYTSGG,https://www.amazon.com/dp/B00MPYTSGG,16.79,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,335.8,candidate_amazon_price,,1.1,18,1,17,0,,fresh,True,no_costco_candidate; enrich_sales,50
10,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B002VLZHLS,Kirkland Signature vitamins supplements :: B002VLZHLS,https://www.amazon.com/dp/B002VLZHLS,20.99,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,419.8,candidate_amazon_price,,0.8,24,2,22,0,,fresh,True,no_costco_candidate; enrich_sales,50
11,,needs_costco_mapping,research_queue,find_costco_match,weak_match; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: high_observed_competition; risk: low_est_seller_share,B08R2SRN88,Kirkland Signature :: B08R2SRN88,https://www.amazon.com/dp/B08R2SRN88,15.99,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,713,499,927,bsr_category_model,bsr_category_model,medium,19108.4,candidate_amazon_price,,12.7,56,26,29,0,,fresh,True,no_costco_candidate; enrich_sales,50
12,,needs_costco_mapping,research_queue,find_costco_match,weak_match; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: high_observed_competition; risk: low_est_seller_share,B01H40O42I,Kirkland Signature :: B01H40O42I,https://www.amazon.com/dp/B01H40O42I,15.99,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,697,487,906,bsr_category_model,bsr_category_model,medium,18812.03,candidate_amazon_price,,19.4,36,10,26,0,,fresh,True,no_costco_candidate; enrich_sales,50
13,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B07H4YC1GC,Kirkland Signature paper towels :: B07H4YC1GC,https://www.amazon.com/dp/B07H4YC1GC,26.88,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,537.6,candidate_amazon_price,,1.7,12,1,11,0,,fresh,True,no_costco_candidate; enrich_sales,50
14,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B01LNBDORK,Kirkland Signature trash bags :: B01LNBDORK,https://www.amazon.com/dp/B01LNBDORK,29.27,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,20,6,34,bsr_category_model,bsr_category_model,very_low,585.4,candidate_amazon_price,,1.1,18,1,17,0,,fresh,True,no_costco_candidate; enrich_sales,50
15,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B01KW9KWW4,Kirkland Signature :: B01KW9KWW4,https://www.amazon.com/dp/B01KW9KWW4,37.98,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,93,65,122,bsr_category_model,bsr_category_model,medium,3532.14,candidate_amazon_price,,2.0,47,6,41,0,,fresh,True,no_costco_candidate; enrich_sales,50
16,,needs_costco_mapping,research_queue,find_costco_match,weak_match; low_est_demand; high_observed_competition; low_est_seller_share,Missing Costco COGS; risk: weak_match; risk: low_est_demand; risk: high_observed_competition; risk: low_est_seller_share,B00NPQZ20O,Kirkland Signature :: B00NPQZ20O,https://www.amazon.com/dp/B00NPQZ20O,39.95,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,28,13,42,bsr_category_model,bsr_category_model,low,1090.6,candidate_amazon_price,,1.3,21,1,20,0,,fresh,True,no_costco_candidate; enrich_sales,50
17,,needs_costco_mapping,research_queue,find_costco_match,weak_match; high_observed_competition,Missing Costco COGS; risk: weak_match; risk: high_observed_competition,B00SWZUC8U,Kirkland Signature :: B00SWZUC8U,https://www.amazon.com/dp/B00SWZUC8U,36.9,,unavailable,unknown,unavailable,missing_costco_cogs,,,,,,,,unknown,unknown,unknown,,,,,23,0,23,0,,fresh,True,no_costco_candidate; enrich_sales,33
