ASIN,Product,Rank,Reviews,PriceUSD,BSR,PrimeOrFBA,Sources,DormancyFlags,RevivalCandidate,ReviveSignals,CostcoID,CostcoName,MatchScore,CostcoCostRef,LiveStatus,Category,RivalIDs
B01J13V6I6,33-Gal Black Trash Bags (90ct),,631,39.99,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,,,,not-fetched,c_needs_name_lookup,
B01LY71217,13-Gal Trash Bags (200ct),13,4319,35.99,Not listed on page,No,Rank+ProxyRank,BSR-not-listed; non-Prime/FBA,True,2,1300658,"Kirkland Signature Scented Kitchen Drawstring Trash Bags, Flex-Tech, White, Fresh Scent, 13 Gallon, 200 ct",0.67,24.41,LIVE-CONFIRMED,a_live_confirmed_match,1300658; 1089787
B077962JKD,"PB Pretzel (2pk, 52oz)",,191,34.99,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,1050557,"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",0.5,12.64,not-fetched,catalog_resolved_not_fetched,1050557
B078XMPVYP,Organic Blue Agave (36oz),,889,9.88,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,1147377,"Kirkland Signature Organic Blue Agave, 36 oz, 2 ct",1.0,11.87,LIVE-CONFIRMED,a_live_confirmed_match,1147377
B07H3TXVR7,"Minoxidil (6-mo, orig packaging)",,246,32.49,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,,,,not-fetched,c_needs_name_lookup,
B081THWMDK,Stretch Tite Food Wrap (2pk),9,967,28.79,Not listed on page,Yes,Rank+ProxyRank,BSR-not-listed; low-reviews(<1000),True,2,208733,"Kirkland Signature Plastic Food Wrap, 12''W x 3000'L",0.5,22.87,not-fetched,catalog_resolved_not_fetched,208733
B085F1QCB9,Compactor Trash Bag,10,588,28.07,"#11,435 in Health & Household; #163 in Trash Bagsamazon","No (Amazon-shipped, non-Prime badge)",Rank+ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,,,,not-fetched,c_needs_name_lookup,
B08TQRC3F6,Nitrile Gloves (200ct),,695,21.95,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,2030640,"Kirkland Signature Nitrile Exam Gloves, Small, 400 ct",1.0,27.27,LIVE-CONFIRMED,a_live_confirmed_match,2030640; 2030644; 2030643; 2030645
B08WN9V1LC,Organic Hemp Hearts,,858,19.99,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,,,,not-fetched,c_needs_name_lookup,
B08XPSSJ5S,Praline Pecans (2-pack),,111,45.49,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,203444,"Kirkland Signature Pecan Halves, Baking Nuts, 2 lbs",0.5,,not-fetched,catalog_resolved_not_fetched,203444
B09D4RCKS4,Minoxidil (1-mo),,377,11.09,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",1.0,19.79,not-fetched,c_needs_name_lookup,
B0BMX67KY7,Fragrance-Free Baby Wipes (900ct),,183,36.89,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,1493488,"Kirkland Signature Baby Wipes Fragrance Free, 900-count",1.0,21.99,EMPTY,matched_unresolved,1493488
B0C54GXFQ8,Performance Plus Golf Balls (24ct),18,679,43.99,Not listed on page,Yes,Rank+ProxyRank,BSR-not-listed; low-reviews(<1000),True,2,,,,,not-fetched,c_needs_name_lookup,
B0CHTNWWLJ,Psyllium Fiber Powder (360 doses),,518,43.38,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,,,,not-fetched,c_needs_name_lookup,
B0D38DT5RX,Hair Regrowth Minoxidil Foam (6-mo),,51,65.8,,No,ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,"Kirkland Signature Hair Regrowth Treatment Minoxidil Foam for Men, 2.11 oz, 6-count",1.0,53.89,not-fetched,c_needs_name_lookup,
B0F7GTX962,Minoxidil (6-mo bundle),19,135,15.49,"#21,943 in Beauty & Personal Care; #173 in Hair Regrowth Treatmentsamazon",No,Rank+ProxyRank,low-reviews(<1000); non-Prime/FBA,True,2,,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",1.0,19.79,not-fetched,c_needs_name_lookup,
B007MWNFBA,Stretch Tite Wrap (single),16,4665,19.99,Not listed on page,Yes,Rank+ProxyRank,BSR-not-listed,True,1,208733,"Kirkland Signature Plastic Food Wrap, 12''W x 3000'L",0.25,22.87,not-fetched,catalog_resolved_not_fetched,208733
B00F4MD808,Chewable Calcium Gummies (120ct),,2810,14.95,,No,ProxyRank,non-Prime/FBA,True,1,,,,,not-fetched,c_needs_name_lookup,
B00JW1OHWK,Pure Vanilla Extract (16oz),,1065,16.99,,No,ProxyRank,non-Prime/FBA,True,1,32911,"Kirkland Signature Pure Vanilla Extract, 16 fl oz",1.0,,not-fetched,catalog_resolved_not_fetched,32911
B00JZVWE0O,H.K Anderson PB Pretzel Nuggets (52oz),,1905,16.74,,No,ProxyRank,non-Prime/FBA,True,1,1050557,"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",0.33,12.64,not-fetched,catalog_resolved_not_fetched,1050557
B00OPQZJA6,Walnuts (48oz),17,3544,20.99,"#8,127 in Grocery & Gourmet Foodamazon",No,Rank+ProxyRank,non-Prime/FBA,True,1,36285,"Kirkland Signature Walnuts, Baking Nuts, 3 lbs",1.0,15.94,not-fetched,catalog_resolved_not_fetched,36285
B00QGMOJ4Y,Purified Drinking Water (40ct),12,2358,23.99,"#11,009 in Grocery & Gourmet Food; #58 in Still Wateramazon",No,Rank+ProxyRank,non-Prime/FBA,True,1,782796,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",1.0,8.57,DEAD,matched_dead_item,782796; 931484; 906078
B00SWZUC8U,Baby Wipes Unscented (9-pack),,5451,32.4,,No,ProxyRank,non-Prime/FBA,True,1,1493488,"Kirkland Signature Baby Wipes Fragrance Free, 900-count",0.67,21.99,EMPTY,matched_unresolved,1493488
B01H40O42I,Aller-Flo Fluticasone (Pack of 5),1,11114,26.74,Not listed on page,Yes,Rank+ProxyRank,BSR-not-listed,True,1,,,,,not-fetched,c_needs_name_lookup,
B01M7QUOBB,Dental Chews (72ct),,4087,36.99,,No,ProxyRank,non-Prime/FBA,True,1,971832,"Kirkland Signature Dental Chews, 72 ct",1.0,33.65,LIVE-CONFIRMED,a_live_confirmed_match,971832
B0734BGSKY,House Decaf Coffee (120 K-Cups),,584,52.99,,Yes,ProxyRank,low-reviews(<1000),True,1,,"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod, 120-count",0.6,37.39,not-fetched,c_needs_name_lookup,
B077GS636P,Glucosamine w/ MSM (375ct),,247,20.49,,Yes,ProxyRank,low-reviews(<1000),True,1,1665191,"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",0.33,22.32,not-fetched,catalog_resolved_not_fetched,1665191
B078B5N4DD,Minoxidil for Men (1-mo),15,5844,13.97,"#13,364 in Beauty & Personal Care; #103 in Hair Regrowth Treatmentsamazon",No,Rank+ProxyRank,non-Prime/FBA,True,1,,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",1.0,19.79,not-fetched,c_needs_name_lookup,
B07G6XV55T,"Plastic Food Wrap (2pk, 12""x3000)",,330,61.99,,Yes,ProxyRank,low-reviews(<1000),True,1,208733,"Kirkland Signature Plastic Food Wrap, 12''W x 3000'L",1.0,22.87,not-fetched,catalog_resolved_not_fetched,208733
B07Q2HHLVN,Mixed Nut Butter,,2469,16.99,,No,ProxyRank,non-Prime/FBA,True,1,,,,,not-fetched,c_needs_name_lookup,
B09KFMH9BW,Minoxidil (6-mo),,615,27.97,,Yes,ProxyRank,low-reviews(<1000),True,1,,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",1.0,19.79,not-fetched,c_needs_name_lookup,
B0DPY44TGM,Praline Pecans Bundle (2.5lb),,422,32.99,,Yes,ProxyRank,low-reviews(<1000),True,1,203444,"Kirkland Signature Pecan Halves, Baking Nuts, 2 lbs",0.5,,not-fetched,catalog_resolved_not_fetched,203444
B002L4M4M0,Sleep Aid Doxylamine (96ct),8,6270,7.93,"#14,653 in Health & Household; #24 in OTC Sleep Aidsamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B0045XGE9E,Sleep Aid Doxylamine (2pk/192ct),7,4966,13.84,"#7,570 in Health & Household; #13 in OTC Sleep Aidsamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B0077SXI7A,Fiber Capsules (2-pack),,2706,30.85,,Yes,ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B00BH3HPZW,Fiber Capsules (360ct),5,4799,17.84,"#6,602 in Health & Household; #32 in Dietary Fiber Nutritional Supplementsamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B00BI33NU2,Ultra Strength Antacid (265ct),20,3121,13.65,"#17,252 in Health & Household; #116 in Antacidsamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B00BISGJXA,Stool Softener 100mg (400ct),4,18629,12.75,"#4,960 in Health & Householdamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B00DQXOSV0,Ultra Plush Microfiber Towels (12pk),,1628,18.63,,Yes,ProxyRank,,False,0,133839,"Kirkland Signature Microfiber Towels, Blue, 36 ct",0.67,21.11,TRANSPORT-ERROR,matched_failed_fetch,133839; 713160
B00GYZWNY6,Glucosamine 1500/Chondroitin 1200 (220ct),6,5183,29.25,"#6,562 in Health & Household; #8 in Chondroitin Supplementsamazon",Yes,Rank+ProxyRank,,False,0,1665191,"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",1.0,22.32,not-fetched,catalog_resolved_not_fetched,1665191
B00N54AJZE,"Stool Softener 100mg (400ct, alt listing)",11,1665,12.69,"#19,009 in Health & Household; #96 in Laxativesamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B00UP99X1I,Vitamin E 400IU (500 softgels),,1286,20.85,,Yes,ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B01AIVTJMA,Hearing Aid Batteries (48pk),,3289,16.13,,Yes,ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B01JUD2SNO,Stool Softener (800ct/2-bottle),,1662,21.39,,Yes,ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B07BZW88NY,"Sleep Aid (192ct, alt)",14,6515,14.25,"#15,119 in Health & Household; #25 in OTC Sleep Aidsamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B08R2SRN88,Aller-Flo Fluticasone (5 Bottles/600 sprays),2,11898,26.8,"#3,567 in Health & Householdamazon",Yes,Rank+ProxyRank,,False,0,,,,,not-fetched,c_needs_name_lookup,
B0CP6LXPLK,Minoxidil Extra Strength (6-mo),3,1434,33.12,"#2,300 in Beauty & Personal Care; #15 in Hair Regrowth Treatmentsamazon",Yes,Rank+ProxyRank,,False,0,,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",1.0,19.79,not-fetched,c_needs_name_lookup,
