Priority tier,Opportunity score,Decision-ready status,ASIN,Exact Amazon title,Amazon brand,Amazon category,Amazon pack / size / count,Amazon current price,Amazon BSR rank,Amazon BSR category,Demand lane,Observed offer count,Costco candidate title,Costco candidate item number,Costco candidate UPC,Costco candidate pack / size / count,Costco current shelf price,Costco instant-savings amount,Costco final shelf price,Costco unit-normalized cost,Package-match status,Match source,Match confidence,Costco found in warehouse?,Costco warehouse location,Store item number confirmed?,UPC confirmed?,Shelf price observed,Promo observed,Final paid price observed,Pack / size observed,Package photo captured?,Date checked,Notes / mismatch detail
T1,,Yes,B00SWZUC8U,"KIRKLAND Baby Wipes Unscented, 100 Count (Pack of 9)",Kirkland Signature,Baby,9-pack,36.90,3234,Baby,unknown,23,"Kirkland Signature Baby Wipes Fragrance Free, 900-count",1493188,,900-count (9 x 100ct),23.99,,23.99,0.02666,Exact,operator_supplied,High,,,,,,,,,,,9 x 100-count. Amazon BB listed 36.90. [shared Costco item 1493188 also maps to B014K3BF24]
T1,,Yes,B00YGMN122,"KIRKLAND Kirkland Signature Adults 50+ Mature Multi, 400 Tablets 1",Kirkland Signature,Health & Household,400 tablets,19.96,14227,Health & Household,medium (~176/mo),29,"Kirkland Signature Adult 50+ Mature Multi Vitamins & Minerals, 400 Tablets",424976,,400 Tablets,17.99,,17.99,0.04497,Exact,operator_supplied,High,,,,,,,,,,,"[shared Costco item 424976 also maps to B00P8ZAWK0, B00NPQZ20O]"
T1,,Yes,B01H40O42I,"KIRKLAND Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",Kirkland Signature,Health & Household,"0.54 fl oz, 5-pack",15.99,3403,Health & Household,medium (~697/mo),36,"Kirkland Signature Aller-Flo 50 mcg Allergy Spray, 720 Metered Sprays",1586629,,5 bottles (720 sprays),23.99,4.00,19.99,3.99800,Exact,operator_supplied,High,,,,,,,,,,,Same product line as B08R2SRN88; was 23.99. [shared Costco item 1586629 also maps to B08R2SRN88]
T1,,Yes,B08R2SRN88,"KIRKLAND Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",Kirkland Signature,Health & Household,5 bottles,15.99,3313,Health & Household,medium (~713/mo),56,"Kirkland Signature Aller-Flo 50 mcg Allergy Spray, 720 Metered Sprays, 5 bottles",1586629,,5 bottles (720 sprays each),23.99,4.00,19.99,3.99800,Exact,operator_supplied,High,,,,,,,,,,,Was 23.99; 4.00 promo through 2026-09-20. Operator reported Amazon BB 15.99. [shared Costco item 1586629 also maps to B01H40O42I]
T1,,Yes,B001UB44SM,Kirkland Signature Drawstring Kitchen Trash Bags - 13 Gallon - 200 Count,Kirkland Signature,Health & Household,"13 gallon, 200 count",32.47,189728,Health & Household,very_low (~20/mo),23,"Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count",1089787,,200 count,22.49,,22.49,0.11245,Exact,operator_supplied,High,,,,,,,,,,,
T1,,Yes,B002VLZHLS,"KIRKLAND Signature Fish Oil Concentrate with Omega-3 Fatty Acids, 400 Softgels, 1000mg",Kirkland Signature,Health & Household,Fish Oil 400 Softgels 1000mg,20.99,194824,Health & Household,very_low (~20/mo),24,"Kirkland Signature Fish Oil 1000 mg, 400 Softgels",926628,,400 Softgels,20.99,,20.99,0.05247,Exact,operator_supplied,High,,,,,,,,,,,Operator reports Amazon Buy Box matches.
T1,,Yes,B005ECOBBI,"KIRKLAND Signature Vitamin E 180mg, 500 Softgels",Kirkland Signature,Health & Household,500 softgels,18.01,52613,Health & Household,low (~42/mo),7,"Kirkland Signature Vitamin E 180 mg (400 IU), 500 Softgels",98211,,500 Softgels,15.99,,15.99,0.03198,Exact,operator_supplied,High,,,,,,,,,,,
T1,,Yes,B00AQ0LMTC,"KIRKLAND Signature Quick Dissolve B-12 5000 mcg, 300 Tablets",Kirkland Signature,Health & Household,300 tablets,25.90,292264,Health & Household,very_low (~20/mo),10,"Kirkland Signature Quick Dissolve B-12 5000 mcg, 300 Tablets",690843,,300 Tablets,21.99,4.00,17.99,0.05997,Exact,operator_supplied,High,,,,,,,,,,,Was 21.99; 4.00 promo through 2026-09-20.
T1,,Yes,B00MPYTSGG,KIRKLAND Signature Chewable Vitamin C 500 Mg Tangy Orange Taste: 500 Tablets,Kirkland Signature,Health & Household,500 tablets,16.79,206788,Health & Household,very_low (~20/mo),18,"Kirkland Signature Chewable Vitamin C 500 mg, 500 Tablets",98501,,500 Tablets,17.99,,17.99,0.03598,Exact,operator_supplied,High,,,,,,,,,,,[shared Costco item 98501 also maps to B07881PTTX]
T1,,Yes,B00P8ZAWK0,"KIRKLAND Signature Adults, 50 plus Mature Multi Vitamins & Minerals, 400-Count Tablets",Kirkland Signature,Health & Household,400 tabs,24.49,75201,Health & Household,low (~28/mo),14,"Kirkland Signature Adult 50+ Mature Multi Vitamins & Minerals, 400 Tablets",424976,,400 Tablets,17.99,,17.99,0.04497,Exact,operator_supplied,High,,,,,,,,,,,"Amazon BB listed 24.49; Costco lower. [shared Costco item 424976 also maps to B00NPQZ20O, B00YGMN122]"
