Priority,ASIN,Exact Amazon product title,Brand,Product form / variant,Pack count / size / count,Amazon buy-box price,Live BSR rank,BSR category,Demand lane,Competition / offer count,Decision-ready status,Costco found? (blank),Costco warehouse item number (blank),Costco UPC (blank),Costco shelf price (blank),Costco instant-savings amount (blank),Costco final unit cost (blank),Costco pack / size observed (blank),Packaging match status,Match notes (blank),Photo captured? Y/N (blank),Date checked (blank),Warehouse location (blank)
1,B00P8ZAWK0,"KIRKLAND Signature Adults, 50 plus Mature Multi Vitamins & Minerals, 400-Count Tablets",Kirkland Signature,Tablets,,24.49,75201,Health & Household,low (~28/mo),14,Yes,,,,,,,,,,,,,
2,B002VLZHLS,"KIRKLAND Signature Fish Oil Concentrate with Omega-3 Fatty Acids, 400 Softgels, 1000mg",Kirkland Signature,Softgels,,20.99,194824,Health & Household,very_low (~20/mo),24,Yes,,,,,,,,,,,,,
3,B08R2SRN88,"KIRKLAND Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",Kirkland Signature,Sprays,,15.99,3313,Health & Household,medium (~713/mo),56,Yes,,,,,,,,,,,,,
4,B01H40O42I,"KIRKLAND Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",Kirkland Signature,,,15.99,3403,Health & Household,medium (~697/mo),36,Yes,,,,,,,,,,,,,
5,B01KW9KWW4,"KIRKLAND Kirkland Signature OPTIFIBER, 25.6 Ounces 190 Servings (2 Pack)",Kirkland Signature,Servings,,37.98,26544,Health & Household,medium (~93/mo),47,Yes,,,,,,,,,,,,,
6,B00NPQZ20O,"KIRKLAND KIRKLAND Signature Adult 50+ Multi Vitamins & Minerals, 400 Tablets (2 Pack)",Kirkland Signature,Tablets,,39.95,75201,Health & Household,low (~28/mo),21,Yes,,,,,,,,,,,,,
7,B00SWZUC8U,"KIRKLAND Baby Wipes Unscented, 100 Count (Pack of 9)",Kirkland Signature,Wipes,,36.9,3234,Baby,unknown,23,Yes,,,,,,,,,,,,,
8,B014K3BF24,"KIRKLAND Signature Baby Wipes, Ultra-Soft, Unscented, 100 Count Wipes Pack of 6",Kirkland Signature,Wipes,,27.59,3234,Baby,unknown,20,Yes,,,,,,,,,,,,,
9,B00GYZWNY6,KIRKLAND Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,Kirkland Signature,Tablets,,29.25,6639,Health & Household,medium (~377/mo),66,Yes,,,,,,,,,,,,,
10,B00AQ0LMTC,"KIRKLAND Signature Quick Dissolve B-12 5000 mcg, 300 Tablets",Kirkland Signature,Tablets,,Unknown,292264,Health & Household,very_low (~20/mo),10,No,,,,,,,,,,,,,
11,B01NCRITAE,"KIRKLAND Signature Extra Strength D3 50 mcg., 600 Softgels (2 Pack)",Kirkland Signature,Softgels,,Unknown,33798,Health & Household,medium (~70/mo),19,No,,,,,,,,,,,,,
12,B015WRSJCQ,"KIRKLAND Signature Vitamin C, 1000mg, 500 Tabs",Kirkland Signature,,,Unknown,108449,Health & Household,very_low (~20/mo),18,No,,,,,,,,,,,,,
13,B07881PTTX,KIRKLAND Signature Vitamin C 500mg 2-Pack or 1000 Tangy Orange Chewable Tablets,Kirkland Signature,Tablets,,Unknown,106630,Health & Household,very_low (~20/mo),16,No,,,,,,,,,,,,,
14,B005ECOBBI,"KIRKLAND Signature Vitamin E 180mg, 500 Softgels",Kirkland Signature,Softgels,,Unknown,52613,Health & Household,low (~42/mo),7,No,,,,,,,,,,,,,
15,B001UB44SM,Kirkland Signature Drawstring Kitchen Trash Bags - 13 Gallon - 200 Count,Kirkland Signature,Trash Bags,,Unknown,189728,Health & Household,very_low (~20/mo),23,No,,,,,,,,,,,,,
16,B01M7Y0NEX,"KIRKLAND Signature-87507 Wastebasket Liners, Clear, 10 Gallon, 500 ct",Kirkland Signature,Wastebasket Liners,,Unknown,15986,Health & Household,medium (~156/mo),10,No,,,,,,,,,,,,,
17,B00MPYTSGG,KIRKLAND Signature Chewable Vitamin C 500 Mg Tangy Orange Taste: 500 Tablets,Kirkland Signature,Tablets,,Unknown,206788,Health & Household,very_low (~20/mo),18,No,,,,,,,,,,,,,
18,B07H4YC1GC,KIRKLAND Signature Moist Flushable Enhanced Cleansing & Freshness Ultra Soft Hypoallergenic Plant-Based Wipes - 640 Count,Kirkland Signature,Wipes,,Unknown,207447,Health & Household,very_low (~20/mo),12,No,,,,,,,,,,,,,
19,B01LNBDORK,KIRKLAND Signature Compactor Kitchen Trash Bag with Gripping Drawstring Secure Full Size,Kirkland Signature,Trash Bag,,Unknown,140563,Health & Household,very_low (~20/mo),18,No,,,,,,,,,,,,,
20,B00YGMN122,"KIRKLAND Kirkland Signature Adults 50+ Mature Multi, 400 Tablets 1",Kirkland Signature,Tablets,,Unknown,14227,Health & Household,medium (~176/mo),29,No,,,,,,,,,,,,,
