asin,product_title,source_query,price,rating,num_ratings,num_offers,price_band_fit,composite_score,rank
B00AQ0LMTC,"KIRKLAND Signature Quick Dissolve B-12 5000 mcg, 300 Tablets",Kirkland Signature vitamins supplements,25.9,4.7,11139,10,core,99.6439,1
B01NCRITAE,"KIRKLAND Signature Extra Strength D3 50 mcg., 600 Softgels (2 Pack)",Kirkland Signature vitamins supplements,27.98,4.8,8273,19,core,98.0594,2
B015WRSJCQ,"KIRKLAND Signature Vitamin C, 1000mg, 500 Tabs",Kirkland Signature vitamins supplements,21.99,4.8,8132,18,core,97.9678,3
B00P8ZAWK0,"KIRKLAND Signature Adults, 50 plus Mature Multi Vitamins &amp; Minerals, 400-Count Tablets",Kirkland Signature vitamins supplements,24.49,4.7,5659,14,core,96.0365,4
B07881PTTX,KIRKLAND Signature Vitamin C 500mg 2-Pack or 1000 Tangy Orange Chewable Tablets,Kirkland Signature vitamins supplements,30.89,4.7,5391,16,core,95.7781,5
B005ECOBBI,"KIRKLAND Signature Vitamin E 180mg, 500 Softgels",Kirkland Signature vitamins supplements,18.01,4.7,4835,7,core,95.1983,6
B001UB44SM,Kirkland Signature Drawstring Kitchen Trash Bags - 13 Gallon - 200 Count,Kirkland Signature trash bags,32.47,4.8,4675,24,core,95.0191,7
B01M7Y0NEX,"KIRKLAND Signature-87507 Wastebasket Liners, Clear, 10 Gallon, 500 ct",Kirkland Signature trash bags,23.59,4.7,4322,10,core,94.6009,8
B00MPYTSGG,KIRKLAND Signature Chewable Vitamin C 500 Mg Tangy Orange Taste: 500 Tablets,Kirkland Signature vitamins supplements,16.79,4.8,4030,18,core,94.2283,9
B002VLZHLS,"KIRKLAND Signature Fish Oil Concentrate with Omega-3 Fatty Acids, 400 Softgels, 1000mg",Kirkland Signature vitamins supplements,20.99,4.7,3944,24,core,94.1134,10
B00JQRFOTA,"KIRKLAND Signature One Per Day Super B-Complex with Electrolytes,500 tablets",Kirkland Signature vitamins supplements,23.99,4.7,3890,14,core,94.04,11
B08R2SRN88,"KIRKLAND Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",Kirkland Signature,26.8,4.8,11909,1,core,94.0,12
B01H40O42I,"KIRKLAND Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",Kirkland Signature,26.99,4.8,11122,1,core,93.6358,13
B004EEN97E,KIRKLAND Signature Mature Multi Vitamins &amp; Minerals with Lycopene and Lutein 400 Tablets - Compare to Centrum Silver,Kirkland Signature vitamins supplements,23.5,4.7,3578,9,core,93.5947,14
B07H4YC1GC,KIRKLAND Signature Moist Flushable Enhanced Cleansing &amp; Freshness Ultra Soft Hypoallergenic Plant-Based Wipes - 640 Count,Kirkland Signature paper towels,26.88,4.7,3444,12,core,93.3914,15
B00M0DR8W8,KIRKLAND Signature Adult Multi Gummies - 320 ct - 2 pk,Kirkland Signature vitamins supplements,17.55,4.4,3220,10,core,93.0332,16
B002RL8FD4,"KIRKLAND Signature Extra Strength Glucosamine HCI 1500mg, With MSM 1500 mg, 375-Count Tablets",Kirkland Signature vitamins supplements,23.79,4.7,5628,26,core,93.0073,17
B01LNBDORK,KIRKLAND Signature Compactor Kitchen Trash Bag with Gripping Drawstring Secure Full Size,Kirkland Signature trash bags,29.27,4.8,2473,18,core,91.6275,18
B003V2JBEK,KIRKLAND Signature Glucosamine HCI 1500mg Chondroitin Sulfate 1200mg 220 Tablets/New Increased Count,Kirkland Signature vitamins supplements,26.95,4.6,2225,18,core,91.0647,19
