seq,asin,requested_asin,returned_asin,asin_match,title_truth_bsr_proxy,title_truth_direct,title_live,title_classification,title_semantic_review,price_truth,price_live,price_delta_abs,price_delta_pct,reviews_truth,reviews_live,prime_fba_csv,live_fulfillment,live_condition,offer_count,offers_returned,offers_complete,missing_fields,credits_this_call_reported,credits_remaining_reported,duration_sec,outcome,discrepancy_class,review_required,reconcile_status
1,B01H40O42I,B01H40O42I,B01H40O42I,MATCH,Aller-Flo Fluticasone (Pack of 5),Aller-Flo (Pack of 5),"Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",Potentially conflicting,match_confirmed_semantically,26.74,26.99,0.25,0.0093,11114,not_supplied,Yes,FBM,New,39,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,21,79,4.966,partial,title_label_only_prime_mismatch,information only; listing/prime status changed,OK
2,B08R2SRN88,B08R2SRN88,B08R2SRN88,MATCH,Aller-Flo Fluticasone (5 Bottles/600 sprays),Aller-Flo (5 Bottles/600 sprays),"Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",Unrelated,match_confirmed_semantically,26.8,26.8,0.0,0.0,11898,not_supplied,Yes,FBM,New,46,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,22,78,4.131,partial,title_label_only_prime_mismatch,information only; listing/prime status changed,OK
3,B0CP6LXPLK,B0CP6LXPLK,B0CP6LXPLK,MATCH,Minoxidil Extra Strength (6-mo),Minoxidil Extra Strength (6-mo),"Minoxidil Liquid Extra Strength Hair Regrowth Treatment for Men, 5% Topical Solution, 6 Months Supply - Dropper Applicator and Bonus Free Instructional Guide Included",Unrelated,match_confirmed_semantically,33.12,15.29,-17.83,-0.5383,1434,not_supplied,Yes,FBM,New,14,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,23,77,3.949,partial,major_price_delta_prime_mismatch,human review before any reliance,OK
4,B00BISGJXA,B00BISGJXA,B00BISGJXA,MATCH,Stool Softener 100mg (400ct),Stool Softener 100mg (400ct),"Kirkland Signature Stool Softener 100 mg, 400 Softgels",Unrelated,match_confirmed_semantically,12.75,11.17,-1.58,-0.1239,18629,not_supplied,Yes,FBM,New,44,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,24,76,5.964,partial,moderate_price_delta_prime_mismatch,human review before any reliance,OK
5,B00BH3HPZW,B00BH3HPZW,B00BH3HPZW,MATCH,Fiber Capsules (360ct),Fiber Capsules (360ct),"Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",Unrelated,match_confirmed_semantically,17.84,17.66,-0.18,-0.0101,4799,not_supplied,Yes,Prime,New,66,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,25,75,5.17,partial,title_label_only,none,OK
6,B00GYZWNY6,B00GYZWNY6,B00GYZWNY6,MATCH,Glucosamine 1500/Chondroitin 1200 (220ct),Glucosamine 1500/Chondroitin 1200 (220ct),Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,Unrelated,match_confirmed_semantically,29.25,29.25,0.0,0.0,5183,not_supplied,Yes,Prime,New,68,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,26,74,5.629,partial,title_label_only,none,OK
7,B0045XGE9E,B0045XGE9E,B0045XGE9E,MATCH,Sleep Aid Doxylamine (2pk/192ct),Sleep Aid Doxylamine (2pk/192ct),"Kirkland Signature Sleep Aid Doxylamine Succinate 25 Mg, 2 pack (192 Tablets)",Unrelated,match_confirmed_semantically,13.84,12.39,-1.45,-0.1048,4966,not_supplied,Yes,FBM,New,37,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,27,73,4.837,partial,moderate_price_delta_prime_mismatch,human review before any reliance,OK
8,B002L4M4M0,B002L4M4M0,B002L4M4M0,MATCH,Sleep Aid Doxylamine (96ct),Sleep Aid Doxylamine (96ct),"KIRKLAND SIGNATURE Sleep Aid Doxylamine Succinate 25 Mg X Tabs (53201812) No Flavor 96 Count, Packaging May Vary",Unrelated,match_confirmed_semantically,7.93,7.93,0.0,0.0,6270,not_supplied,Yes,Prime,New,15,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,28,72,3.395,partial,title_label_only,none,OK
9,B081THWMDK,B081THWMDK,B081THWMDK,MATCH,Stretch Tite Food Wrap (2pk),Stretch Tite Food Wrap (2pk),Kirkland Signature Stretch Tite Plastic Food Wrap 11 7/8 Inch X 750 SQ. FT. Pack 2,Unrelated,match_confirmed_semantically,28.79,23.98,-4.81,-0.1671,967,not_supplied,Yes,FBM,New,30,11,False,amazon_category;brand;browse_node_id;bsr_not_supplied;ean;fba_fee;gtin;item_weight_lbs;monthly_sales_estimate;package_dimensions_in;package_weight_lbs;reviews_count_not_supplied;sales_rank;upc,29,71,5.048,partial,major_price_delta_prime_mismatch,human review before any reliance,OK
10,B085F1QCB9,B085F1QCB9,,NO_CALL,Compactor Trash Bag,Compactor Trash Bag,,no_call,no_live_data,28.07,,,,588,,"No (Amazon-shipped, non-Prime badge)",,,,,,no data (skipped),0,,,skipped_cap,skipped_no_call,operator decision to approve 1 follow-up request (not automatic),OK
