asin,product_title_csv,product_title_live,title_label_strict,title_review,price_csv,price_live,price_delta_abs,price_delta_pct,reviews_csv,reviews_live,prime_fba_flag_csv,prime_fba_flag_live,bsr_csv_rank_numeric,bsr_live_note,mapping_error,provider_asin,buy_box_seller,buy_box_seller_id,credits_reported_this_call,outcome,discrepancy_class,notes
B01H40O42I,Aller-Flo (Pack of 5),"Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",Potentially conflicting,match_confirmed_semantically,26.74,26.99,0.25,0.0093,11114,Unknown,Yes,FBM,,provider does not supply BSR,False,B01H40O42I,RCB SUPPLIES,A1DMGFCDYYOO2N,21,partial,title_label_only_prime_mismatch,BSR not observed live; provider does not supply BSR.
B08R2SRN88,Aller-Flo (5 Bottles/600 sprays),"Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",Unrelated,match_confirmed_semantically,26.8,26.8,0.0,0.0,11898,Unknown,Yes,FBM,3567,provider does not supply BSR,False,B08R2SRN88,RCB SUPPLIES,A1DMGFCDYYOO2N,22,partial,title_label_only_prime_mismatch,BSR not observed live; provider does not supply BSR.
B0CP6LXPLK,Minoxidil Extra Strength (6-mo),"Minoxidil Liquid Extra Strength Hair Regrowth Treatment for Men, 5% Topical Solution, 6 Months Supply - Dropper Applicator and Bonus Free Instructional Guide Included",Unrelated,match_confirmed_semantically,33.12,15.29,-17.83,-0.5383,1434,Unknown,Yes,FBM,2300,provider does not supply BSR,False,B0CP6LXPLK,America Strong,AFZOHYJ1O89LO,23,partial,major_price_delta_prime_mismatch,BSR not observed live; provider does not supply BSR.
B00BISGJXA,Stool Softener 100mg (400ct),"Kirkland Signature Stool Softener 100 mg, 400 Softgels",Unrelated,match_confirmed_semantically,12.75,11.17,-1.58,-0.1239,18629,Unknown,Yes,FBM,4960,provider does not supply BSR,False,B00BISGJXA,DesiGabbar,A2M3PFPY4TCXC4,24,partial,moderate_price_delta_prime_mismatch,BSR not observed live; provider does not supply BSR.
B00BH3HPZW,Fiber Capsules (360ct),"Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",Unrelated,match_confirmed_semantically,17.84,17.66,-0.18,-0.0101,4799,Unknown,Yes,Prime,6602,provider does not supply BSR,False,B00BH3HPZW,Loong & Sons,A38ZPEG9OLAOCB,25,partial,title_label_only,BSR not observed live; provider does not supply BSR.
B00GYZWNY6,Glucosamine 1500/Chondroitin 1200 (220ct),Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,Unrelated,match_confirmed_semantically,29.25,29.25,0.0,0.0,5183,Unknown,Yes,Prime,6562,provider does not supply BSR,False,B00GYZWNY6,ONE WORLD EXPRESS,A2CV0ZIZUNKP6C,26,partial,title_label_only,BSR not observed live; provider does not supply BSR.
B0045XGE9E,Sleep Aid Doxylamine (2pk/192ct),"Kirkland Signature Sleep Aid Doxylamine Succinate 25 Mg, 2 pack (192 Tablets)",Unrelated,match_confirmed_semantically,13.84,12.39,-1.45,-0.1048,4966,Unknown,Yes,FBM,7570,provider does not supply BSR,False,B0045XGE9E,OM Trading NC,A1A7M7KE3GO4GO,27,partial,moderate_price_delta_prime_mismatch,BSR not observed live; provider does not supply BSR.
B002L4M4M0,Sleep Aid Doxylamine (96ct),"KIRKLAND SIGNATURE Sleep Aid Doxylamine Succinate 25 Mg X Tabs (53201812) No Flavor 96 Count, Packaging May Vary",Unrelated,match_confirmed_semantically,7.93,7.93,0.0,0.0,6270,Unknown,Yes,Prime,14653,provider does not supply BSR,False,B002L4M4M0,MIMIC LLC,A2UO5JG2CZ3CJ2,28,partial,title_label_only,BSR not observed live; provider does not supply BSR.
B081THWMDK,Stretch Tite Food Wrap (2pk),Kirkland Signature Stretch Tite Plastic Food Wrap 11 7/8 Inch X 750 SQ. FT. Pack 2,Unrelated,match_confirmed_semantically,28.79,23.98,-4.81,-0.1671,967,Unknown,Yes,FBM,,provider does not supply BSR,False,B081THWMDK,Fiorenzo LLC,A36X4560LWOSG6,29,partial,major_price_delta_prime_mismatch,BSR not observed live; provider does not supply BSR.
B085F1QCB9,Compactor Trash Bag,,no_call,no_live_data,28.07,,,,588,Unknown,"No (Amazon-shipped, non-Prime badge)",Unknown,11435,provider does not supply BSR,False,,,,0,skipped_cap,skipped_no_call,No provider call made (request/credit cap reached); nothing compared.
