asin,product_title_csv,product_title_live,price_csv,price_live,price_delta_abs,price_delta_pct,reviews_csv,reviews_live,prime_fba_flag_csv,prime_fba_flag_live,bsr_text_csv,bsr_live_note,title_similarity,outcome,notes
B01H40O42I,Aller-Flo Fluticasone (Pack of 5),"Kirkland Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",26.74,26.99,0.25,0.0093,11114,Unknown,Yes,FBM,Not listed on page,provider does not supply BSR,Potentially conflicting,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B08R2SRN88,Aller-Flo Fluticasone (5 Bottles/600 sprays),"Kirkland Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",26.8,26.8,0.0,0.0,11898,Unknown,Yes,FBM,"#3,567 in Health & Householdamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B0CP6LXPLK,Minoxidil Extra Strength (6-mo),"Minoxidil Liquid Extra Strength Hair Regrowth Treatment for Men, 5% Topical Solution, 6 Months Supply - Dropper Applicator and Bonus Free Instructional Guide Included",33.12,15.29,-17.83,-0.5383,1434,Unknown,Yes,FBM,"#2,300 in Beauty & Personal Care; #15 in Hair Regrowth Treatmentsamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B00BISGJXA,Stool Softener 100mg (400ct),"Kirkland Signature Stool Softener 100 mg, 400 Softgels",12.75,11.17,-1.58,-0.1239,18629,Unknown,Yes,FBM,"#4,960 in Health & Householdamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B00BH3HPZW,Fiber Capsules (360ct),"Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",17.84,17.66,-0.18,-0.0101,4799,Unknown,Yes,Prime,"#6,602 in Health & Household; #32 in Dietary Fiber Nutritional Supplementsamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR.
B00GYZWNY6,Glucosamine 1500/Chondroitin 1200 (220ct),Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,29.25,29.25,0.0,0.0,5183,Unknown,Yes,Prime,"#6,562 in Health & Household; #8 in Chondroitin Supplementsamazon",provider does not supply BSR,Potentially conflicting,partial,BSR not observed live; provider does not supply BSR.
B0045XGE9E,Sleep Aid Doxylamine (2pk/192ct),"Kirkland Signature Sleep Aid Doxylamine Succinate 25 Mg, 2 pack (192 Tablets)",13.84,12.39,-1.45,-0.1048,4966,Unknown,Yes,FBM,"#7,570 in Health & Household; #13 in OTC Sleep Aidsamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B002L4M4M0,Sleep Aid Doxylamine (96ct),"KIRKLAND SIGNATURE Sleep Aid Doxylamine Succinate 25 Mg X Tabs (53201812) No Flavor 96 Count, Packaging May Vary",7.93,7.93,0.0,0.0,6270,Unknown,Yes,Prime,"#14,653 in Health & Household; #24 in OTC Sleep Aidsamazon",provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR.
B081THWMDK,Stretch Tite Food Wrap (2pk),Kirkland Signature Stretch Tite Plastic Food Wrap 11 7/8 Inch X 750 SQ. FT. Pack 2,28.79,23.98,-4.81,-0.1671,967,Unknown,Yes,FBM,Not listed on page,provider does not supply BSR,Unrelated,partial,BSR not observed live; provider does not supply BSR. Prime/FBA flag mismatch vs CSV.
B085F1QCB9,Compactor Trash Bag,,28.07,,,,588,Unknown,"No (Amazon-shipped, non-Prime badge)",Unknown,"#11,435 in Health & Household; #163 in Trash Bagsamazon",provider does not supply BSR,Unrelated,skipped_cap,No provider call made (request/credit cap reached); nothing compared.
