rank,asin,cogs_ceiling,buy_box,fba_fee,fba_fee_basis
1,B0HFXZCFNT,261.8,279.0,8.2,enriched
2,B08PS7YJV2,148.29,165.49,8.2,enriched
3,B0G16FV2QL,102.79,119.99,8.2,enriched
4,B0GPFH3Q2V,102.09,119.29,8.2,enriched
5,B08TL2GD3Y,93.95,112.85,9.9,enriched
6,B07CH9Y7Y8,92.39,107.49,6.1,enriched
7,B09VK75PYG,84.75,99.0,5.25,enriched
8,B07BSYHH39,74.6,93.5,9.9,enriched
9,B076ZFG1ZH,71.09,89.99,9.9,enriched
10,B01CZ637O2,70.49,85.59,6.1,enriched
11,B07CH3SMS4,52.91,67.16,5.25,enriched
12,B00JQRFOTA,48.24,61.99,4.75,enriched
13,B07N6YF2SF,46.2,61.3,6.1,enriched
14,B07HLSQ147,45.9,69.9,15.0,enriched
15,B008M2VYOE,45.73,59.98,5.25,enriched
16,B077LCPQ34,44.79,61.99,8.2,enriched
17,B0154AVVSK,44.03,62.93,9.9,enriched
18,B07CHRV2PR,43.89,59.99,7.1,enriched
19,B075D6XMYW,42.58,61.48,9.9,enriched
20,B098MTHVBK,39.22,52.97,4.75,enriched
21,B08B5GZXHN,38.74,52.99,5.25,enriched
22,B01KHC9D6C,37.89,53.99,7.1,enriched
23,B0734BGSKY,35.79,52.99,8.2,enriched
24,B0FP119Q3V,35.74,49.99,5.25,enriched
25,B00BP4UGYU,33.99,52.89,9.9,enriched
26,B01EWBH2VM,33.6,47.85,5.25,enriched
27,B00EA1PFEG,33.24,46.99,4.75,enriched
28,B074ZPLDS8,31.56,50.46,9.9,enriched
29,B07GDWR1BX,31.24,44.99,4.75,enriched
30,B08JJV9M86,29.89,44.99,6.1,enriched
31,B0H2788M9Z,29.75,45.85,7.1,enriched
32,B0H9GL43LZ,28.74,42.99,5.25,enriched
33,B0FVWFFTYV,27.51,41.76,5.25,enriched
34,B00U56JTPG,27.4,43.5,7.1,enriched
35,B0C54GXFQ8,26.39,42.49,7.1,enriched
36,B0D91KYL2J,25.85,41.95,7.1,enriched
37,B0H1Z5D4LC,24.74,38.99,5.25,enriched
38,B0D9B4WRQT,24.49,45.99,12.5,enriched
39,B003FGTTUI,23.77,40.97,8.2,enriched
40,B0FY3V7SZN,22.19,36.44,5.25,enriched
41,B075XP6PGK,21.99,45.99,15.0,enriched
42,B0D5C26QDQ,21.6,35.85,5.25,enriched
43,B01AJM0SL4,20.75,37.95,8.2,enriched
44,B0H1Z1P3YW,20.74,34.99,5.25,enriched
45,B01FFV68KO,20.53,37.73,8.2,enriched
46,B00D1J091M,20.09,37.29,8.2,enriched
47,B00XU9FM8S,20.09,38.99,9.9,enriched
48,B079BKWK6L,19.89,34.99,6.1,enriched
49,B0DY56S3SZ,19.24,32.99,4.75,enriched
50,B075DKFDNB,18.89,33.99,6.1,enriched
51,B0C6B3RSB8,18.86,34.96,7.1,enriched
52,B0FB47R7H3,18.74,32.99,5.25,enriched
53,B0DXCL4HDZ,18.73,32.48,4.75,enriched
54,B0CS6Z9SRX,18.44,33.54,6.1,enriched
55,B00BPFX2I6,18.39,35.59,8.2,enriched
56,B008Q90CBO,18.3,35.5,8.2,enriched
57,B08CGFZNSB,18.19,33.29,6.1,enriched
58,B08HSJKTPG,17.09,35.99,9.9,enriched
59,B01LBWZDCA,16.89,32.99,7.1,enriched
60,B0DPY44TGM,16.89,32.99,7.1,enriched
61,B0B5M38FTT,16.88,32.98,7.1,enriched
62,B00PF44IAO,16.8,34.0,8.2,enriched
63,B0027EOTKO,16.2,33.4,8.2,enriched
64,B072TT12DZ,16.2,33.4,8.2,enriched
65,B0GVVYYKS8,16.15,29.9,4.75,enriched
66,B00QCW31QU,15.89,31.99,7.1,enriched
67,B0797ZFMY3,15.75,32.95,8.2,enriched
68,B005ECO5KU,15.69,30.79,6.1,enriched
69,B08634QYFT,15.5,29.75,5.25,enriched
70,B0017SURSY,15.09,33.99,9.9,enriched
71,B07886L38V,14.89,30.99,7.1,enriched
72,B0CVFGV9WW,14.78,31.98,8.2,enriched
73,B00CCQWK6C,14.68,30.78,7.1,enriched
74,B0H1ZHGR7K,14.54,28.79,5.25,enriched
75,B0DLKRV4XS,13.88,29.98,7.1,enriched
76,B0D11ZSLCX,13.79,30.99,8.2,enriched
77,B0FGLSBQH9,13.75,28.0,5.25,enriched
78,B09B82XJJL,12.74,26.99,5.25,enriched
79,B0FR2QZS15,12.74,26.99,5.25,enriched
80,B079JS2QYG,12.6,31.5,9.9,enriched
