rank,asin,amazon_title,opportunity_score,opportunity_score_reasons,opportunity_readiness,recommended_next_step,match_readiness,data_completeness_score,freshness_label,costco_match_quality,costco_item_name,costco_cost,costco_cost_basis,amazon_price,estimated_monthly_sales,fba_sellers,missing_fields
1,B00QGMOJ4Y,"Signature Purified Drinking Water, 16.9 Ounce, 40 Count",,,economics_provisional,get_fba_fee_preview,,,,exact,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",8.57,estimated,25.99,1000.0,,"upc,weight,fba_fee"
2,B01M7QUOBB,"Signature Dental Chews, 72-Count",,,economics_provisional,get_fba_fee_preview,,,,candidate,"Kirkland Signature Dental Chews, 72 ct",33.65,candidate_match,36.99,500.0,,"upc,weight,fba_fee"
3,B0H1Z32VYW,Signature Women's Travel Pant,,,economics_provisional,get_fba_fee_preview,,,,high_confidence,Kirkland Signature Women's Travel Pant,19.79,estimated,28.99,,,"upc,weight,fba_fee"
4,B0H1Z31YZB,Signature Women's Travel Pant,,,economics_provisional,get_fba_fee_preview,,,,high_confidence,Kirkland Signature Women's Travel Pant,19.79,estimated,33.89,,,"upc,weight,fba_fee"
5,B0H1Z2GJYY,Signature Women's Travel Pant,,,economics_provisional,get_fba_fee_preview,,,,high_confidence,Kirkland Signature Women's Travel Pant,19.79,estimated,24.78,,,"upc,weight,fba_fee"
6,B0H1YM3YTK,Signature Women's Travel Pant,,,economics_provisional,get_fba_fee_preview,,,,high_confidence,Kirkland Signature Women's Travel Pant,19.79,estimated,31.61,,,"upc,weight,fba_fee"
7,B0FPFMT1MS,"Minoxidil for Men Liquid, Extra Strength Hair Regrowth Treatment 5%, 6 Months Supply - Upgraded Dropper Applicator and Bonus Free Guide Included",,,needs_costco_match,find_costco_match,,,,unmatched,,,,12.89,7000.0,,"upc,weight,costco_cost,fba_fee"
8,B08R2SRN88,"Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",,,needs_costco_match,find_costco_match,,,,unmatched,,,,15.49,,,"upc,weight,costco_cost,fba_fee"
9,B01H40O42I,"Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",,,needs_costco_match,find_costco_match,,,,unmatched,,,,15.49,,,"upc,weight,costco_cost,fba_fee"
10,B0045XGE9E,"Signature Sleep Aid Doxylamine Succinate 25 Mg, 2 pack (192 Tablets)",,,needs_costco_match,find_costco_match,,,,unmatched,,,,12.39,,,"upc,weight,costco_cost,fba_fee"
11,B00BH3HPZW,"Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",,,needs_costco_match,find_costco_match,,,,unmatched,,,,17.84,5000.0,,"upc,weight,costco_cost,fba_fee"
12,B00BISGJXA,"Signature Stool Softener 100 mg, 400 Softgels",,,needs_costco_match,find_costco_match,,,,unmatched,,,,12.75,,,"upc,weight,costco_cost,fba_fee"
13,B00T4WXPRU,Men Hair Loss Regrowth Revitalizes Hair Follicles 5% Minoxidil Topical Solution 3 Months Supply Size 3 X 2 Fl. Oz (60 Ml) Original,,,needs_costco_match,find_costco_match,,,,unmatched,,,,19.99,1000.0,,"upc,weight,costco_cost,fba_fee"
14,B01LY71217,"Signature 13 Gallon 200 Ct Carton 100% recyclable Heavy Duty Drawstring Kitchen Trash Bags Garbage Bag,White",,,needs_costco_match,find_costco_match,,,,unmatched,,,,34.99,2000.0,,"upc,weight,costco_cost,fba_fee"
15,B0C54GXFQ8,"Signature V3.0#1654518 Performance Plus 3-Piece Urethane Covered Golf Ball (2 Dozen, 24 Balls) | usga certified, urethane cover, low compression, all weather, greenside spin, 2 dozen value, tournament approved",,,needs_costco_match,find_costco_match,,,,unmatched,,,,43.99,400.0,,"upc,weight,costco_cost,fba_fee"
16,B01L0S0T8I,"Signature Fish Oil Concentrate with Omega-3 Fatty Acids, 400 Softgels, 1000mg",,,needs_costco_match,find_costco_match,,,,unmatched,,,,30.99,300.0,,"upc,weight,costco_cost,fba_fee"
