asin,amazon_title,product_url,amazon_price,buy_box_price,estimated_monthly_sales,total_sellers,fba_sellers,costco_match_quality,costco_item_name,costco_cost,costco_cost_basis,cost_match_reason,economics_confidence,economics_status,estimated_net_profit,estimated_roi_pct,missing_fields,verification_task,opportunity_readiness,recommended_next_step,cache_source,observed_at,enriched_at
B0FPFMT1MS,"Minoxidil for Men Liquid, Extra Strength Hair Regrowth Treatment 5%, 6 Months Supply - Upgraded Dropper Applicator and Bonus Free Guide Included",https://www.amazon.com/dp/B0FPFMT1MS,12.89,,7000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00GYZWNY6,Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,https://www.amazon.com/dp/B00GYZWNY6,29.25,,5000.0,,,mismatch,"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",22.32,candidate_match,"Pack/count differs (Amazon [(220.0, 'count')] vs Costco [(280.0, 'count')]); Formula/flavor differs: chondroitin, extra, glucosamine, strength vs advanced, chondroitin, glucosamine",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B08R2SRN88,"Signature Aller-Flo Fluticasone Propionate (Glucorticoid) 5 Bottles x 120 Metered Sprays 0.54 Fl OZ per Bottle (15.8 mL x 5) 2.70 OZ Total (79 mL Total) 600 Total Sprays Total, 1-Pack",https://www.amazon.com/dp/B08R2SRN88,15.49,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01H40O42I,"Signature Kirkland Aller-Flo Fluticasone Propionate (Glucorticoid), 0.54 Fl Oz (Pack of 5)",https://www.amazon.com/dp/B01H40O42I,15.49,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0045XGE9E,"Signature Sleep Aid Doxylamine Succinate 25 Mg, 2 pack (192 Tablets)",https://www.amazon.com/dp/B0045XGE9E,12.39,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00BH3HPZW,"Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",https://www.amazon.com/dp/B00BH3HPZW,17.84,,5000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00BISGJXA,"Signature Stool Softener 100 mg, 400 Softgels",https://www.amazon.com/dp/B00BISGJXA,12.75,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00T4WXPRU,Men Hair Loss Regrowth Revitalizes Hair Follicles 5% Minoxidil Topical Solution 3 Months Supply Size 3 X 2 Fl. Oz (60 Ml) Original,https://www.amazon.com/dp/B00T4WXPRU,19.99,,1000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01LY71217,"Signature 13 Gallon 200 Ct Carton 100% recyclable Heavy Duty Drawstring Kitchen Trash Bags Garbage Bag,White",https://www.amazon.com/dp/B01LY71217,34.99,,2000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0C54GXFQ8,"Signature V3.0#1654518 Performance Plus 3-Piece Urethane Covered Golf Ball (2 Dozen, 24 Balls) | usga certified, urethane cover, low compression, all weather, greenside spin, 2 dozen value, tournament approved",https://www.amazon.com/dp/B0C54GXFQ8,43.99,,400.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B07XLZXQRP,"Signature Bath Tissue, 2-Ply, 425 sheets, 30 rolls",https://www.amazon.com/dp/B07XLZXQRP,46.99,,600.0,,,mismatch,"Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",27.49,candidate_match,"Pack/count differs (Amazon [(30.0, 'count'), (425.0, 'count')] vs Costco [(30.0, 'count'), (380.0, 'count')])",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B01L0S0T8I,"Signature Fish Oil Concentrate with Omega-3 Fatty Acids, 400 Softgels, 1000mg",https://www.amazon.com/dp/B01L0S0T8I,30.99,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0D38DT5RX,"Signature Hair Regrowth Treatment Minoxidil Foam for Men, 2.11 oz, 6 Count (6 Month Supply) - 2 MicroFiber Cleaning Cloths and Comb Included",https://www.amazon.com/dp/B0D38DT5RX,69.99,,500.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B07BZW88NY,"Signature Sleep Aid, 192 Tablets",https://www.amazon.com/dp/B07BZW88NY,12.44,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0077SXI7A,"Signature Kirkland Fiber Capsules, 2 Pack (360 Capsules Each)",https://www.amazon.com/dp/B0077SXI7A,29.99,,1000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B077QX9WKZ,Signature Dental Chews (2),https://www.amazon.com/dp/B077QX9WKZ,73.98,,200.0,,,mismatch,"Kirkland Signature Dental Chews, 72 ct",33.65,candidate_match,"Pack/count differs (Amazon [(2.0, 'count')] vs Costco [(72.0, 'count')])",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B07G6XV55T,"Plastic Food Wrap - 6000 SQ. FT (2 Pack, 12"" x 3000 SQ. FT Each)",https://www.amazon.com/dp/B07G6XV55T,54.99,,700.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B005P2OZ68,Signature Men's Crew Neck T-Shirts 100% Cotton (Pack of 6),https://www.amazon.com/dp/B005P2OZ68,33.9,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01G2LY6EQ,"Signature Aller-Fex - 180mg , 150 Tablet Kirkland-um",https://www.amazon.com/dp/B01G2LY6EQ,43.69,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B08D72CS37,Signature Men's Boxer Brief Pima Cotton 4 Pack,https://www.amazon.com/dp/B08D72CS37,32.99,,,,,mismatch,"Kirkland Signature Men's Boxer Brief, 4-pack",20.89,candidate_match,"Formula/flavor differs: boxer, brief, cotton, men, pima vs boxer, brief, men",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B01KHC9D6C,Minoxidil 5% Extra Strength Men Hair Regrowth (12 Month Supply) | 5% minoxidil topical solution for men; extra strength hair regrowth treatment; unscented; 12 month with dropper,https://www.amazon.com/dp/B01KHC9D6C,53.99,,500.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00EXPSLK4,"Signature Fast Acting Lactase, (2 Pack), 360 Ct Caplets",https://www.amazon.com/dp/B00EXPSLK4,39.78,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00RNFPU2S,Signature Men's Boxer Brief Pima Cotton 4 Pack,https://www.amazon.com/dp/B00RNFPU2S,28.13,,100.0,,,mismatch,"Kirkland Signature Men's Boxer Brief, 4-pack",20.89,candidate_match,"Formula/flavor differs: boxer, brief, cotton, men, pima vs boxer, brief, men",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B00QGMOJ4Y,"Signature Purified Drinking Water, 16.9 Ounce, 40 Count",https://www.amazon.com/dp/B00QGMOJ4Y,25.99,,1000.0,,,exact,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",8.57,estimated,,provisional,needs_fee_verification,,,"upc,weight,fba_fee",verify_fba_fee,economics_provisional,get_fba_fee_preview,brightdata,,
B00OPQZJA6,[Amazon-developed Certification] Compact by Design,https://www.amazon.com/dp/B00OPQZJA6,20.99,,1000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01JKSYFNK,"Signature Glucosamine & Chondroitin, 220 Tablets (2 Pack)",https://www.amazon.com/dp/B01JKSYFNK,48.95,,100.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0CHTNWWLJ,"Signature Sugar-Free Psyllium Fiber Supplement Powder, 360 DosesQ | 360 Doses",https://www.amazon.com/dp/B0CHTNWWLJ,43.38,,400.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01LBAFCDM,"wcaqZ, COQ10 300 mg 100 Softgels (Pack of 2)",https://www.amazon.com/dp/B01LBAFCDM,43.94,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00NPQZ20O,"Signature Adult 50+ Multi Vitamins & Minerals, 400 Tablets (2 Pack)",https://www.amazon.com/dp/B00NPQZ20O,35.98,,100.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B085F1QCB9,"SIGNATURE Compactor Kitchen Trash Bag with Gripping Drawstring Secure Full Size, New Edition",https://www.amazon.com/dp/B085F1QCB9,28.07,,2000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00F4MD808,"Signature Chewable Calcium with Vitamin D3 Adult Gummies, 120 ct x 1 Bottle",https://www.amazon.com/dp/B00F4MD808,14.95,,1000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B08TQRC3F6,"Signature Nitrile Gloves, Box of 200, Medium for Health Care, Food Service, Home other uses.",https://www.amazon.com/dp/B08TQRC3F6,21.95,,900.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B081THWMDK,Signature Stretch Tite Plastic Food Wrap 11 7/8 Inch X 750 SQ. FT. Pack 2,https://www.amazon.com/dp/B081THWMDK,23.29,,1000.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B01M7QUOBB,"Signature Dental Chews, 72-Count",https://www.amazon.com/dp/B01M7QUOBB,36.99,,500.0,,,candidate,"Kirkland Signature Dental Chews, 72 ct",33.65,candidate_match,"No conflict, but weight/pack equivalence cannot be confirmed (Amazon side carries no weight/pack/UPC).",provisional,needs_fee_verification,,,"upc,weight,fba_fee",verify_upc,economics_provisional,get_fba_fee_preview,brightdata,,
B00SWZUC8U,"Baby Wipes Unscented, 100 Count (Pack of 9)",https://www.amazon.com/dp/B00SWZUC8U,32.4,,600.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0F7GTX962,"Signature Minoxidil Topical Solution USP 5%, Extra Strength Hair Regrowth Treatment for Men, 6 Months Supply",https://www.amazon.com/dp/B0F7GTX962,14.99,,700.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B09KFMH9BW,"Signature Minoxidil Topical Solution USP 5%, Extra Strength Hair Regrowth Treatment for Men, 6 Months Supply",https://www.amazon.com/dp/B09KFMH9BW,12.99,,900.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00BTKX40S,"Signature Men's 4 Boxer Briefs (Medium, Black)",https://www.amazon.com/dp/B00BTKX40S,29.99,,,,,mismatch,"Kirkland Signature Men's Boxer Brief, 4-pack",20.89,candidate_match,"Formula/flavor differs: black, boxer, briefs, medium, men vs boxer, brief, men",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B005D1K7CW,Maximum Strength Vitamin D3 600 Softgels (Pack of 2),https://www.amazon.com/dp/B005D1K7CW,24.26,,50.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B00JI7APH4,Microwave Popcorn 3.3 Ounce Bags - 8 Bags,https://www.amazon.com/dp/B00JI7APH4,11.27,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B07NK887R7,"Minoxidil Foam for Men 5% Extra Strength, Hair Regrowth Treatment, Topical Hair Loss Treatment, Unscented, 3 Month Supply (3 Cans)",https://www.amazon.com/dp/B07NK887R7,44.5,,,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B08B5GZXHN,USDA Organic,https://www.amazon.com/dp/B08B5GZXHN,50.99,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0C8LKRDDQ,Signature Three-Piece Golf Ball Urethane Cover Performance Plus,https://www.amazon.com/dp/B0C8LKRDDQ,43.88,,100.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B077KX1JBV,Signature Dental Chews (4),https://www.amazon.com/dp/B077KX1JBV,139.09,,50.0,,,mismatch,"Kirkland Signature Dental Chews, 72 ct",33.65,candidate_match,"Pack/count differs (Amazon [(4.0, 'count')] vs Costco [(72.0, 'count')])",provisional,needs_fee_verification,,,"upc,weight,fba_fee",blocked_mismatch,blocked_mismatch,reject_mismatch,brightdata,,
B0C54FYHQ2,"Signature Golf Balls 3-Piece Urethane Cover, 12 Golf Balls",https://www.amazon.com/dp/B0C54FYHQ2,27.45,,100.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B0BMX67KY7,"Signature Fragrance Free Baby Wipes, 900 Count",https://www.amazon.com/dp/B0BMX67KY7,36.96,,300.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B07C4YLGFH,"Signature Protein Bars Chocolate Brownie 2.12 oz, 20-count",https://www.amazon.com/dp/B07C4YLGFH,40.97,,200.0,,,unmatched,,,,,unavailable,missing_costco_cogs,,,"upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
B071HGCTC1,"Triple Action Joint Health Type II Collagen, Boron and HA - 110 Count",https://www.amazon.com/dp/B071HGCTC1,,,400.0,,,unmatched,,,,,unavailable,missing_amazon_price,,,"amazon_price,upc,weight,costco_cost,fba_fee",no_costco_candidate,needs_costco_match,find_costco_match,brightdata,,
