item_name,costco_cost
"Kirkland Signature Ultra Clean HE Liquid Laundry Detergent, 146 loads, 194 fl oz",23.64
"Kirkland Signature Whole Almonds, Baking Nuts, 3 lbs",17.15
"Kirkland Signature Cookie Tray, 60-count",25.29
"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",23.09
Kirkland Signature Dishwasher Detergent Pacs 115 Count,13.99
"Kirkland Signature, Pure Sea Salt, 30 oz",4.39
"Kirkland Signature, Crushed Red Pepper, 10 oz",5.27
"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",26.39
Kirkland Signature Women's Softshell Jacket,36.29
"Kirkland Signature Elegant Plastic Plates, Variety Pack, White, 50-count",17.59
"Kirkland Signature Fabric Softener Sheets, 250-count, 2-pack",13.74
"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod, 120-count",46.19
"Kirkland Signature Men's Heavyweight Crew Tee, 6-pack",29.69
"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",19.79
"Kirkland Signature Men's Merino Wool Blend Sock, 4-pair",19.24
"Kirkland Signature Flex-Tech 13-Gallon Scented Kitchen Trash Bags, 200-count",24.74
"Kirkland Signature Baby Wipes Fragrance Free, 900-count",26.39
"Kirkland Signature Men's Boxer Brief, 4-pack",20.89
Kirkland Signature Women's Lightweight Short,10.97
Kirkland Signature Unisex Logo Crewneck,10.97
Kirkland Signature Men's Cotton Jean,14.29
"Kirkland Signature Hair Regrowth Treatment Minoxidil Foam for Men, 2.11 oz, 6-count",53.89
"Kirkland Signature Adult Formula Chicken, Rice and Vegetable Dog Food, 25 lbs",27.49
"Kirkland Signature by Stearns &amp; Foster 14.5"" Pillow Top Lakeridge Mattress",1319.99
Costco Wholesale Unisex Logo Pant,24.19
Kirkland Signature Breaded Panko Shrimp 2.5 lbs,19.79
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",27.71
"Kirkland Signature Fancy Whole Cashews, Unsalted, 40 oz",19.24
"Kirkland Signature Organic Applesauce Pouch, 3.17 oz, 24 ct",12.53
"Kirkland Signature Chicken Bakes, 8 oz, 6 ct",18.69
"Kirkland Signature Trail Mix Snack Packs, 2 oz, 28 ct",22.1
"Kirkland Signature Favorites Chocolate Bag, Variety Pack, 90 oz",30.13
"Kirkland Signature Sparkling Water, Variety Pack, 12 fl oz, 35 ct",19.57
"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",8.57
"Kirkland Signature Organic Coconut Water, 11.1 fl oz, 12 ct",14.95
"Kirkland Signature Soft & Chewy Chocolate Chip Granola Bars, 0.85 oz, 64 ct",13.74
